"","COM","PTOT"
"221","Montracol-1",1048
"222","Montreal-la-Cluse-1",3490
"223","Montrevel-en-Bresse-1",2556
"224","Murs-et-Gelignieux-1",252
"225","Nantua-1",3544
"226","Neuville-les-Dames-1",1530
"227","Neuville-sur-Ain-1",1798
"228","LesNeyrolles-1",657
"229","Neyron-1",2598
"230","Nievroz-1",1651
"231","NivigneetSuran-1",829
"232","Nivollet-Montgriffon-1",121
"233","Nurieux-Volognat-1",1050
"234","Oncieu-1",90
"235","Ordonnaz-1",140
"236","Ornex-1",4586
"237","Outriaz-1",265
"238","Oyonnax-1",22808
"239","Ozan-1",702
"240","Parcieux-1",1250
"241","ParvesetNattages-1",984
"242","Peron-1",2755
"243","Peronnas-1",6800
"244","Perouges-1",1291
"245","Perrex-1",849
"246","Peyriat-1",156
"247","Peyrieu-1",895
"248","Peyzieux-sur-Saone-1",689
"249","Pirajoux-1",420
"250","Pizay-1",858
"251","Plagne-1",143
"252","LePlantay-1",577
"253","Plateaud'Hauteville-1",5033
"254","LePoizat-Lalleyriat-1",744
"255","Polliat-1",2586
"256","Pollieu-1",166
"257","Poncin-1",1742
"258","Pont-d'Ain-1",2998
"259","Pont-de-Vaux-1",2278
"260","Pont-de-Veyle-1",1696
"261","Port-1",863
"262","Pougny-1",825
"263","Pouillat-1",86
"264","Premeyzel-1",254
"265","Premillieu-1",44
"266","Prevessin-Moens-1",8706
"267","Priay-1",1766
"268","Ramasse-1",333
"269","Rance-1",743
"270","Relevant-1",473
"271","Replonges-1",3838
"272","Revonnas-1",917
"273","Reyrieux-1",5061
"274","Reyssouze-1",992
"275","Rignieux-le-Franc-1",1012
"276","Romans-1",593
"277","Rossillon-1",155
"278","Ruffieu-1",190
"279","Saint-Alban-1",183
"280","Saint-Andre-d'Huiriat-1",659
"281","Saint-Andre-de-Bage-1",783
"282","Saint-Andre-de-Corcy-1",3446
"283","Saint-Andre-le-Bouchoux-1",402
"284","Saint-Andre-sur-Vieux-Jonc-1",1182
"285","Saint-Benigne-1",1314
"286","Saint-Bernard-1",1474
"287","Saint-Cyr-sur-Menthon-1",1819
"288","Saint-Denis-en-Bugey-1",2322
"289","Saint-Denis-les-Bourg-1",6010
"290","Saint-Didier-d'Aussiat-1",884
"291","Saint-Didier-de-Formans-1",2059
"292","Saint-Didier-sur-Chalaronne-1",2982
"293","Saint-Eloi-1",481
"294","Saint-Etienne-du-Bois-1",2577
"295","Saint-Etienne-sur-Chalaronne-1",1592
"296","Saint-Etienne-sur-Reyssouze-1",582
"297","Saint-Genis-Pouilly-1",13434
"298","Saint-Genis-sur-Menthon-1",477
"299","Saint-Georges-sur-Renon-1",214
"300","Saint-Germain-de-Joux-1",508
"301","Saint-Germain-les-Paroisses-1",434
"302","Saint-Germain-sur-Renon-1",247
"303","Saint-Jean-de-Gonville-1",1869
"304","Saint-Jean-de-Niost-1",1574
"305","Saint-Jean-de-Thurigneux-1",789
"306","Saint-Jean-le-Vieux-1",1822
"307","Saint-Jean-sur-Reyssouze-1",757
"308","Saint-Jean-sur-Veyle-1",1180
"309","Saint-Julien-sur-Reyssouze-1",752
"310","Saint-Julien-sur-Veyle-1",851
"311","Saint-Just-1",964
"312","Saint-Laurent-sur-Saone-1",1717
"313","Saint-Marcel-1",1288
"314","Saint-Martin-de-Bavel-1",447
"315","Saint-Martin-du-Frene-1",1069
"316","Saint-Martin-du-Mont-1",1888
"317","Saint-Martin-le-Chatel-1",805
"318","Saint-Maurice-de-Beynost-1",4016
"319","Saint-Maurice-de-Gourdans-1",2659
"320","Saint-Maurice-de-Remens-1",769
"321","Saint-Nizier-le-Bouchoux-1",665
"322","Saint-Nizier-le-Desert-1",935
"323","Saint-Paul-de-Varax-1",1576
"324","Saint-Rambert-en-Bugey-1",2262
"325","Saint-Remy-1",1013
"326","Saint-Sorlin-en-Bugey-1",1212
"327","Saint-Sulpice-1",260
"328","Saint-Trivier-de-Courtes-1",1112
"329","Saint-Trivier-sur-Moignans-1",1886
"330","Saint-Vulbas-1",1287
"331","Sainte-Croix-1",572
"332","Sainte-Euphemie-1",1703
"333","Sainte-Julie-1",1069
"334","Sainte-Olive-1",285
"335","Salavre-1",275
"336","Samognat-1",677
"337","Sandrans-1",545
"338","Sault-Brenaz-1",994
"339","Sauverny-1",1013
"340","Savigneux-1",1375
"341","Segny-1",2139
"342","Seillonnaz-1",140
"343","Sergy-1",2195
"344","Sermoyer-1",677
"345","Serrieres-de-Briord-1",1319
"346","Serrieres-sur-Ain-1",136
"347","Servas-1",1293
"348","Servignat-1",175
"349","Seyssel-1",1018
"350","Simandre-sur-Suran-1",677
"351","Sonthonnax-la-Montagne-1",313
"352","Souclin-1",279
"353","Sulignat-1",600
"354","Surjoux-Lhopital-1",140
"355","Talissieu-1",481
"356","Tenay-1",1037
"357","Thil-1",1108
"358","Thoiry-1",6155
"359","Thoissey-1",1723
"360","Torcieu-1",744
"361","Tossiat-1",1395
"362","Toussieux-1",1134
"363","Tramoyes-1",1770
"364","LaTrancliere-1",296
"365","Trevoux-1",7044
"366","Val-Revermont-1",2629
"367","Valeins-1",129
"368","Valromey-sur-Seran-1",1339
"369","Valserhone-1",16800
"370","Vandeins-1",702
"371","Varambon-1",613
"372","Vaux-en-Bugey-1",1251
"373","Verjon-1",313
"374","Vernoux-1",324
"375","Versailleux-1",465
"376","Versonnex-1",2236
"377","Vesancy-1",486
"378","Vescours-1",237
"379","Vesines-1",103
"380","Vieu-d'Izenave-1",730
"381","Villars-les-Dombes-1",5057
"382","Villebois-1",1202
"383","Villemotier-1",658
"384","Villeneuve-1",1557
"385","Villereversure-1",1341
"386","Villes-1",395
"387","Villette-sur-Ain-1",771
"388","Villieu-Loyes-Mollon-1",3751
"389","Viriat-1",6705
"390","Virieu-le-Grand-1",1130
"391","Virignin-1",1125
"392","Vongnes-1",73
"393","Vonnas-1",3138
"394","Abbecourt-2",511
"395","Achery-2",615
"396","Acy-2",1044
"397","Agnicourt-et-Sechelles-2",185
"398","Aguilcourt-2",389
"399","Aisonville-et-Bernoville-2",267
"400","Aizelles-2",124
"401","Aizy-Jouy-2",297
"402","Alaincourt-2",546
"403","Allemant-2",179
"404","Ambleny-2",1205
"405","Ambrief-2",70
"406","Amifontaine-2",404
"407","Amigny-Rouy-2",760
"408","Ancienville-2",74
"409","Andelain-2",231
"410","Anguilcourt-le-Sart-2",322
"411","Anizy-le-Grand-2",2595
"412","Annois-2",368
"413","Any-Martin-Rieux-2",464
"414","Archon-2",89
"415","Arcy-Sainte-Restitue-2",412
"416","Armentieres-sur-Ourcq-2",105
"417","Arrancy-2",51
"418","Artemps-2",371
"419","Assis-sur-Serre-2",225
"420","Athies-sous-Laon-2",2665
"421","Attilly-2",371
"422","Aubencheul-aux-Bois-2",267
"423","Aubenton-2",665
"424","Aubigny-aux-Kaisnes-2",258
"425","Aubigny-en-Laonnois-2",107
"426","Audignicourt-2",123
"427","Audigny-2",289
"428","Augy-2",78
"429","Aulnois-sous-Laon-2",1434
"430","LesAutels-2",57
"431","Autremencourt-2",174
"432","Autreppes-2",181
"433","Autreville-2",822
"434","Azy-sur-Marne-2",387
"435","Bagneux-2",68
"436","Bancigny-2",25
"437","Barenton-Bugny-2",569
"438","Barenton-Cel-2",116
"439","Barenton-sur-Serre-2",137
"440","Barisis-aux-Bois-2",749
"441","Barzy-en-Thierache-2",329
"442","Barzy-sur-Marne-2",394
"443","Bassoles-Aulers-2",142
"444","Bazoches-sur-Vesles-2",462
"445","Beaume-2",91
"446","Beaumont-en-Beine-2",179
"447","Beaurevoir-2",1433
"448","Beaurieux-2",861
"449","Beautor-2",2735
"450","Beauvois-en-Vermandois-2",267
"451","Becquigny-2",255
"452","Belleau-2",141
"453","Bellenglise-2",387
"454","Belleu-2",3868
"455","Bellicourt-2",611
"456","Benay-2",202
"457","Bergues-sur-Sambre-2",217
"458","Berlancourt-2",100
"459","Berlise-2",109
"460","Bernot-2",461
"461","Berny-Riviere-2",672
"462","Berrieux-2",190
"463","Berry-au-Bac-2",676
"464","Bertaucourt-Epourdon-2",608
"465","Berthenicourt-2",198
"466","Bertricourt-2",159
"467","Berzy-le-Sec-2",392
"468","Besme-2",167
"469","Besmont-2",150
"470","Besny-et-Loizy-2",351
"471","Bethancourt-en-Vaux-2",446
"472","Beugneux-2",111
"473","Beuvardes-2",756
"474","Bezu-le-Guery-2",263
"475","Bezu-Saint-Germain-2",1047
"476","Bichancourt-2",1038
"477","Bieuxy-2",33
"478","Bievres-2",93
"479","Billy-sur-Aisne-2",1167
"480","Billy-sur-Ourcq-2",220
"481","Blanzy-les-Fismes-2",102
"482","Blerancourt-2",1354
"483","Blesmes-2",466
"484","Bohain-en-Vermandois-2",5758
"485","Bois-les-Pargny-2",202
"486","Boncourt-2",260
"487","Bonneil-2",389
"488","Bonnesvalyn-2",233
"489","Bony-2",138
"490","Bosmont-sur-Serre-2",197
"491","Bouconville-Vauclair-2",195
"492","Boue-2",1347
"493","Bouffignereux-2",104
"494","Bouresches-2",201
"495","Bourg-et-Comin-2",828
"496","Bourguignon-sous-Coucy-2",109
"497","Bourguignon-sous-Montbavin-2",161
"498","LaBouteille-2",490
"499","Braine-2",2264
"500","Brancourt-en-Laonnois-2",722
"501","Brancourt-le-Grand-2",571
"502","Brasles-2",1611
"503","Bray-Saint-Christophe-2",66
"504","Braye-2",129
"505","Braye-en-Laonnois-2",201
"506","Braye-en-Thierache-2",147
"507","Brecy-2",338
"508","Brenelle-2",201
"509","Breny-2",247
"510","Brie-2",55
"511","Brissay-Choigny-2",308
"512","Brissy-Hamegicourt-2",663
"513","Brumetz-2",214
"514","Brunehamel-2",461
"515","Bruyeres-et-Montberault-2",1552
"516","Bruyeres-sur-Fere-2",197
"517","Bruys-2",19
"518","Bucilly-2",200
"519","Bucy-le-Long-2",1914
"520","Bucy-les-Cerny-2",200
"521","Bucy-les-Pierrepont-2",415
"522","Buire-2",885
"523","Buironfosse-2",1179
"524","Burelles-2",131
"525","Bussiares-2",155
"526","Buzancy-2",196
"527","Caillouel-Crepigny-2",447
"528","Camelin-2",460
"529","LaCapelle-2",1861
"530","Castres-2",252
"531","LeCatelet-2",195
"532","Caulaincourt-2",148
"533","Caumont-2",556
"534","Celles-les-Conde-2",90
"535","Celles-sur-Aisne-2",258
"536","Cerizy-2",67
"537","Cerny-en-Laonnois-2",63
"538","Cerny-les-Bucy-2",118
"539","Cerseuil-2",89
"540","Cessieres-Suzy-2",785
"541","Chacrise-2",370
"542","Chaillevois-2",175
"543","Chalandry-2",257
"544","Chambry-2",862
"545","Chamouille-2",280
"546","Champs-2",289
"547","Chaourse-2",556
"548","LaChapelle-sur-Chezy-2",293
"549","Charly-sur-Marne-2",2639
"550","LeCharmel-2",330
"551","Charmes-2",1677
"552","Charteves-2",363
"553","Chassemy-2",899
"554","Chateau-Thierry-2",15717
"555","Chatillon-les-Sons-2",83
"556","Chatillon-sur-Oise-2",126
"557","Chaudardes-2",89
"558","Chaudun-2",259
"559","Chauny-2",12209
"560","Chavignon-2",840
"561","Chavigny-2",162
"562","Chavonne-2",208
"563","Cheret-2",143
"564","Chermizy-Ailles-2",108
"565","Chery-Chartreuve-2",396
"566","Chery-les-Pouilly-2",729
"567","Chery-les-Rozoy-2",81
"568","Chevennes-2",124
"569","Chevregny-2",186
"570","Chevresis-Monceau-2",359
"571","Chezy-en-Orxois-2",412
