COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
partResPrinc2pi;Part des résidences principales de 2 pièces;;;NUM;8
partResPrinc3pi;Part des résidences principales de 3 pièces;;;NUM;8
partResPrinc4pi;Part des résidences principales de 4 pièces;;;NUM;8
partResPrinc5pi;Part des résidences principales de 5 pièces et plus;;;NUM;8
partResPrinc30;Part des résidences principales de moins de 30 m²;;;NUM;8
partResPrinc30_40;Part des résidences principales de 30 à moins de 40 m²;;;NUM;8
partResPrinc40_60;Part des résidences principales de 40 à moins de 60 m²;;;NUM;8
partResPrinc60_80;Part des résidences principales de 60 à moins de 80 m²;;;NUM;8
partResPrinc80_100;Part des résidences principales de 80 à moins de 100 m²;;;NUM;8
partResPrinc100_120;Part des résidences principales de 100 à moins de 120 m²;;;NUM;8
partResPrinc120plus;Part des résidences principales de 120 m² ou plus;;;NUM;8
partResPrincAch19;Part des résidences principales achevées avant 1919;;;NUM;8
partResPrincAch19_45;Part des résidences principales achevées entre 1919 et 1945;;;NUM;8
partResPrincAch46_70;Part des résidences principales achevées entre 1946 et 1970;;;NUM;8
partResPrincAch71_90;Part des résidences principales achevées entre 1971 et 1990;;;NUM;8
partResPrincAch91_05;Part des résidences principales achevées entre 1991 et 2005;;;NUM;8
partResPrincAch06_14;Part des résidences principales achevées entre 2006 et 2014;;;NUM;8
partResPrincEmm2;Part des ménages ayant emménagés depuis moins de 2 ans;;;NUM;8
partResPrincEmm2_4;Part des ménages ayant emménagés entre 2 et 4 ans;;;NUM;8
partResPrincEmm5_9;Part des ménages ayant emménagés entre 5 et 9 ans;;;NUM;8
partResPrincEmm10;Part des ménages ayant emménagés depuis 10 ans ou plus;;;NUM;8
partResPrincSurocc;Part des résidences principales hors studio de 1 personne suroccupées;;;NUM;8
partResPrincSurocc2pi;Part des résidences principales de 2 pièces suroccupées;;;NUM;8
partResPrincSurocc3pi;Part des résidences principales de 3 pièces suroccupées;;;NUM;8
partResPrincSurocc4pi;Part des résidences principales de 4 pièces suroccupées;;;NUM;8
partResPrincSurocc5pi;Part des résidences principales de 5 pièces et plus suroccupées;;;NUM;8
codeGeo;Code du quartier prioritaire;QP001001;Grande Reyssouze Terre Des Fleurs;CHAR;8
codeGeo;Code du quartier prioritaire;QP001002;Croix Blanche;CHAR;8
codeGeo;Code du quartier prioritaire;QP001003;Quartier Jacques Prévert;CHAR;8
codeGeo;Code du quartier prioritaire;QP001004;Levant - Tattes;CHAR;8
codeGeo;Code du quartier prioritaire;QP001005;Les Courbes De L'Albarine;CHAR;8
codeGeo;Code du quartier prioritaire;QP001006;La Plaine - La Forge;CHAR;8
codeGeo;Code du quartier prioritaire;QP001007;Pré Des Saules;CHAR;8
codeGeo;Code du quartier prioritaire;QP001008;Brillat - Savarin;CHAR;8
codeGeo;Code du quartier prioritaire;QP001009;Maladière;CHAR;8
codeGeo;Code du quartier prioritaire;QP002001;Europe;CHAR;8
codeGeo;Code du quartier prioritaire;QP002002;Faubourg D'Isle;CHAR;8
codeGeo;Code du quartier prioritaire;QP002003;Neuville;CHAR;8
codeGeo;Code du quartier prioritaire;QP002004;Vermandois;CHAR;8
codeGeo;Code du quartier prioritaire;QP002005;Champ Roland Et Bords De L'Oise;CHAR;8
codeGeo;Code du quartier prioritaire;QP002006;Gare Et Verrière;CHAR;8
codeGeo;Code du quartier prioritaire;QP002007;Quartier De L'Artilleur;CHAR;8
codeGeo;Code du quartier prioritaire;QP002008;Roosevelt Rebequet;CHAR;8
codeGeo;Code du quartier prioritaire;QP002009;Quartier De La Résidence;CHAR;8
codeGeo;Code du quartier prioritaire;QP002010;Montreuil;CHAR;8
codeGeo;Code du quartier prioritaire;QP002011;Champagne Moulin - Roux;CHAR;8
codeGeo;Code du quartier prioritaire;QP002012;Saint-Crépin Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP002013;Presles;CHAR;8
codeGeo;Code du quartier prioritaire;QP002014;Chevreux;CHAR;8
codeGeo;Code du quartier prioritaire;QP002015;Route De Vivières;CHAR;8
codeGeo;Code du quartier prioritaire;QP002016;Blanchard;CHAR;8
codeGeo;Code du quartier prioritaire;QP002017;Vaucrises;CHAR;8
codeGeo;Code du quartier prioritaire;QP003001;Coeur D'Agglo;CHAR;8
codeGeo;Code du quartier prioritaire;QP003002;Les Ailes;CHAR;8
codeGeo;Code du quartier prioritaire;QP003003;Moulins-Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP003004;Rive Gauche;CHAR;8
codeGeo;Code du quartier prioritaire;QP003005;Fontbouillant;CHAR;8
codeGeo;Code du quartier prioritaire;QP003006;Bien-Assis;CHAR;8
codeGeo;Code du quartier prioritaire;QP004001;Centre Ville - Pigeonnier;CHAR;8
codeGeo;Code du quartier prioritaire;QP004002;Centre Ville - Saint-Lazare;CHAR;8
codeGeo;Code du quartier prioritaire;QP004003;Arc Serrets - Plantiers - Aliziers;CHAR;8
codeGeo;Code du quartier prioritaire;QP005001;Haut - Gap;CHAR;8
codeGeo;Code du quartier prioritaire;QP006001;Las Planas;CHAR;8
codeGeo;Code du quartier prioritaire;QP006002;Coeur De Ville - Hauts De Vallauris;CHAR;8
codeGeo;Code du quartier prioritaire;QP006003;Ranguin-Frayère;CHAR;8
codeGeo;Code du quartier prioritaire;QP006004;Genêts - Oliviers - Saint-Pierre;CHAR;8
codeGeo;Code du quartier prioritaire;QP006005;Grand Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP006006;Les Fleurs De Grasse;CHAR;8
codeGeo;Code du quartier prioritaire;QP006007;La Condamine;CHAR;8
codeGeo;Code du quartier prioritaire;QP006008;Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP006009;Résidence Sociale Nicéa;CHAR;8
codeGeo;Code du quartier prioritaire;QP006010;Les Moulins - Le Point Du Jour;CHAR;8
codeGeo;Code du quartier prioritaire;QP006011;Les Sagnes;CHAR;8
codeGeo;Code du quartier prioritaire;QP006012;Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP006013;Paillon;CHAR;8
codeGeo;Code du quartier prioritaire;QP006014;Ariane - Le Manoir;CHAR;8
codeGeo;Code du quartier prioritaire;QP006015;Palais Des Expositions;CHAR;8
codeGeo;Code du quartier prioritaire;QP006016;Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP007001;Le Contrat Ville Des Quartiers D’Avenir D’Aubenas;CHAR;8
codeGeo;Code du quartier prioritaire;QP007002;Coeur De Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP007003;Sud Avenir;CHAR;8
codeGeo;Code du quartier prioritaire;QP007004;Les Hauts De Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP007005;Nouvel Horizon;CHAR;8
codeGeo;Code du quartier prioritaire;QP008001;Manchester;CHAR;8
codeGeo;Code du quartier prioritaire;QP008002;Ronde Couture;CHAR;8
codeGeo;Code du quartier prioritaire;QP008003;La Houillère;CHAR;8
codeGeo;Code du quartier prioritaire;QP008004;La Couronne;CHAR;8
codeGeo;Code du quartier prioritaire;QP008005;Torcy Cités;CHAR;8
codeGeo;Code du quartier prioritaire;QP008006;Torcy Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP008007;Le Lac - Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP008008;Coeur De Vie;CHAR;8
codeGeo;Code du quartier prioritaire;QP009001;Coeur De Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP009002;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP009003;Centre Ancien - La Gloriette;CHAR;8
codeGeo;Code du quartier prioritaire;QP010001;Gare;CHAR;8
codeGeo;Code du quartier prioritaire;QP010002;Bords De Seine;CHAR;8
codeGeo;Code du quartier prioritaire;QP010003;Chantereigne Montvilliers Beau-Toquat;CHAR;8
codeGeo;Code du quartier prioritaire;QP010004;Debussy;CHAR;8
codeGeo;Code du quartier prioritaire;QP010005;Maugout;CHAR;8
codeGeo;Code du quartier prioritaire;QP010006;Chartreux;CHAR;8
codeGeo;Code du quartier prioritaire;QP010007;Jules Guesde;CHAR;8
codeGeo;Code du quartier prioritaire;QP010008;Sénardes;CHAR;8
codeGeo;Code du quartier prioritaire;QP010009;Point Du Jour;CHAR;8
codeGeo;Code du quartier prioritaire;QP010010;Quartier Des Lumières - Alfred Boucher;CHAR;8
codeGeo;Code du quartier prioritaire;QP011001;Quartier Aude;CHAR;8
codeGeo;Code du quartier prioritaire;QP011002;La Conte - Ozanam;CHAR;8
codeGeo;Code du quartier prioritaire;QP011003;Le Viguier - Saint-Jacques;CHAR;8
codeGeo;Code du quartier prioritaire;QP011004;Bastide Pont-Vieux;CHAR;8
codeGeo;Code du quartier prioritaire;QP011005;Fleming La Reille;CHAR;8
codeGeo;Code du quartier prioritaire;QP011006;Grazailles;CHAR;8
codeGeo;Code du quartier prioritaire;QP011007;Narbonne Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP011008;Narbonne Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP011009;Narbonne Est;CHAR;8
codeGeo;Code du quartier prioritaire;QP011010;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP012001;Quatre Saisons;CHAR;8
codeGeo;Code du quartier prioritaire;QP012002;La Bastide;CHAR;8
codeGeo;Code du quartier prioritaire;QP013001;Florida Parc;CHAR;8
codeGeo;Code du quartier prioritaire;QP013002;Quartier Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP013003;Saint Henri;CHAR;8
codeGeo;Code du quartier prioritaire;QP013004;Notre-Dame;CHAR;8
codeGeo;Code du quartier prioritaire;QP013005;La Viste;CHAR;8
codeGeo;Code du quartier prioritaire;QP013006;Roquecoquille;CHAR;8
codeGeo;Code du quartier prioritaire;QP013007;La Gavotte - Peyret;CHAR;8
codeGeo;Code du quartier prioritaire;QP013008;Château Saint Loup;CHAR;8
codeGeo;Code du quartier prioritaire;QP013009;La Capelette;CHAR;8
codeGeo;Code du quartier prioritaire;QP013010;Griffeuille;CHAR;8
codeGeo;Code du quartier prioritaire;QP013011;Barriol;CHAR;8
codeGeo;Code du quartier prioritaire;QP013012;Le Trébon;CHAR;8
codeGeo;Code du quartier prioritaire;QP013013;Centre Historique - Ferrages;CHAR;8
codeGeo;Code du quartier prioritaire;QP013014;Jas-De-Bouffan;CHAR;8
codeGeo;Code du quartier prioritaire;QP013015;Beisson;CHAR;8
codeGeo;Code du quartier prioritaire;QP013016;Encagnane;CHAR;8
codeGeo;Code du quartier prioritaire;QP013017;Corsy;CHAR;8
codeGeo;Code du quartier prioritaire;QP013018;Secteur Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP013019;La Frescoule;CHAR;8
codeGeo;Code du quartier prioritaire;QP013020;Le Charrel;CHAR;8
codeGeo;Code du quartier prioritaire;QP013021;Mas de Pouane;CHAR;8
codeGeo;Code du quartier prioritaire;QP013022;Notre Dame Des Marins;CHAR;8
codeGeo;Code du quartier prioritaire;QP013023;Canto Perdrix;CHAR;8
codeGeo;Code du quartier prioritaire;QP013024;Les Aigues Douces;CHAR;8
codeGeo;Code du quartier prioritaire;QP013025;Les Comtes;CHAR;8
codeGeo;Code du quartier prioritaire;QP013026;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP013027;Centre Historique;CHAR;8
codeGeo;Code du quartier prioritaire;QP013028;Quartier Béalet-Bessons-Mariélie;CHAR;8
codeGeo;Code du quartier prioritaire;QP013029;Les Canourgues;CHAR;8
codeGeo;Code du quartier prioritaire;QP013030;La Monaque;CHAR;8
codeGeo;Code du quartier prioritaire;QP013031;Centre ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP013032;Centre Ville Canet Arnavaux Jean Jaurès;CHAR;8
codeGeo;Code du quartier prioritaire;QP013033;La Cravache Le Trioulet;CHAR;8
codeGeo;Code du quartier prioritaire;QP013034;La Cayolle;CHAR;8
codeGeo;Code du quartier prioritaire;QP013035;La Sauvagère;CHAR;8
codeGeo;Code du quartier prioritaire;QP013036;Benza;CHAR;8
codeGeo;Code du quartier prioritaire;QP013037;Saint Thys;CHAR;8
codeGeo;Code du quartier prioritaire;QP013038;Air Bel;CHAR;8
codeGeo;Code du quartier prioritaire;QP013039;La Rouguière;CHAR;8
codeGeo;Code du quartier prioritaire;QP013040;Valbarelle Néréïdes Bosquet;CHAR;8
codeGeo;Code du quartier prioritaire;QP013041;Les Escourtines;CHAR;8
codeGeo;Code du quartier prioritaire;QP013042;Malpassé Corot;CHAR;8
codeGeo;Code du quartier prioritaire;QP013043;Balustres Cerisaie;CHAR;8
codeGeo;Code du quartier prioritaire;QP013044;Frais Vallon Le Clos La Rose;CHAR;8
codeGeo;Code du quartier prioritaire;QP013045;Le Petit Séminaire;CHAR;8
codeGeo;Code du quartier prioritaire;QP013046;La Marie;CHAR;8
