COD_VAR;LIB_VAR;COD_MOD;LIB_MOD;TYPE_VAR;LONG_VAR
codeGeo;Code du quartier prioritaire;QP028002;Quartier Des Clos;CHAR;8
codeGeo;Code du quartier prioritaire;QP028003;Vieux Puits;CHAR;8
codeGeo;Code du quartier prioritaire;QP028004;Bruxelles - Arcades - Béguines;CHAR;8
codeGeo;Code du quartier prioritaire;QP028005;Tallemont - Bretagne;CHAR;8
codeGeo;Code du quartier prioritaire;QP028006;Les Bâtes Tabellionne;CHAR;8
codeGeo;Code du quartier prioritaire;QP028007;Les Rochelles - Barthou;CHAR;8
codeGeo;Code du quartier prioritaire;QP028008;Dunant - Kennedy;CHAR;8
codeGeo;Code du quartier prioritaire;QP028009;Camus - Schweitzer;CHAR;8
codeGeo;Code du quartier prioritaire;QP028010;Le Val;CHAR;8
codeGeo;Code du quartier prioritaire;QP029001;Kerandon;CHAR;8
codeGeo;Code du quartier prioritaire;QP029002;Kermoysan;CHAR;8
codeGeo;Code du quartier prioritaire;QP029003;Kerourien;CHAR;8
codeGeo;Code du quartier prioritaire;QP029004;Bellevue;CHAR;8
codeGeo;Code du quartier prioritaire;QP029005;Keredern;CHAR;8
codeGeo;Code du quartier prioritaire;QP029006;Lambezellec Bourg;CHAR;8
codeGeo;Code du quartier prioritaire;QP029007;Pontanezen;CHAR;8
codeGeo;Code du quartier prioritaire;QP029008;Queliverzan Pontaniou;CHAR;8
codeGeo;Code du quartier prioritaire;QP029009;Kerangoff Loti;CHAR;8
codeGeo;Code du quartier prioritaire;QP02A001;Pifano;CHAR;8
codeGeo;Code du quartier prioritaire;QP02A002;Salines;CHAR;8
codeGeo;Code du quartier prioritaire;QP02A003;Les Jardins De l'Empereur;CHAR;8
codeGeo;Code du quartier prioritaire;QP02B001;Quartier Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP02B002;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP030001;Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP030002;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP030003;Pissevin - Valdegour;CHAR;8
codeGeo;Code du quartier prioritaire;QP030004;Gambetta-Richelieu;CHAR;8
codeGeo;Code du quartier prioritaire;QP030005;Chemin-Bas D'Avignon - Clos D'Orville;CHAR;8
codeGeo;Code du quartier prioritaire;QP030006;Mas De Mingue;CHAR;8
codeGeo;Code du quartier prioritaire;QP030007;Route De Beaucaire;CHAR;8
codeGeo;Code du quartier prioritaire;QP030008;Némausus-Jonquilles - Haute Magaille - Oliviers;CHAR;8
codeGeo;Code du quartier prioritaire;QP030009;Sabatot - Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP030010;Escanaux - Coronelle - Citadelle - Vigan Braquet;CHAR;8
codeGeo;Code du quartier prioritaire;QP030011;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP030012;La Moulinelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP030013;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP030014;L'Ecusson;CHAR;8
codeGeo;Code du quartier prioritaire;QP030015;Les Costières;CHAR;8
codeGeo;Code du quartier prioritaire;QP030016;Centre Ville - Arboux;CHAR;8
codeGeo;Code du quartier prioritaire;QP030017;Trescol - La Levade;CHAR;8
codeGeo;Code du quartier prioritaire;QP030018;Quartier Prioritaire D'Uzès;CHAR;8
codeGeo;Code du quartier prioritaire;QP031001;Saint Jean;CHAR;8
codeGeo;Code du quartier prioritaire;QP031002;Centre Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP031003;Coeur De Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP031004;Barradels;CHAR;8
codeGeo;Code du quartier prioritaire;QP031005;Val D'Aran - Poitou - Pyrénées;CHAR;8
codeGeo;Code du quartier prioritaire;QP031006;Pradettes;CHAR;8
codeGeo;Code du quartier prioritaire;QP031007;Grand Mirail;CHAR;8
codeGeo;Code du quartier prioritaire;QP031008;Arènes;CHAR;8
codeGeo;Code du quartier prioritaire;QP031009;Bourbaki;CHAR;8
codeGeo;Code du quartier prioritaire;QP031010;Empalot;CHAR;8
codeGeo;Code du quartier prioritaire;QP031011;Les Izards - La Vache;CHAR;8
codeGeo;Code du quartier prioritaire;QP031012;Cépière Beauregard;CHAR;8
codeGeo;Code du quartier prioritaire;QP031013;Saint Exupéry;CHAR;8
codeGeo;Code du quartier prioritaire;QP031014;Soupetard;CHAR;8
codeGeo;Code du quartier prioritaire;QP031015;Rangueil;CHAR;8
codeGeo;Code du quartier prioritaire;QP031016;En Jacca;CHAR;8
codeGeo;Code du quartier prioritaire;QP031017;Vivier Maçon;CHAR;8
codeGeo;Code du quartier prioritaire;QP031018;Négreneys;CHAR;8
codeGeo;Code du quartier prioritaire;QP031019;La Gloire;CHAR;8
codeGeo;Code du quartier prioritaire;QP032001;Grand Garros;CHAR;8
codeGeo;Code du quartier prioritaire;QP033001;Quartier Champ De Course;CHAR;8
codeGeo;Code du quartier prioritaire;QP033002;Yser - Pont De Madame;CHAR;8
codeGeo;Code du quartier prioritaire;QP033003;Quartier Du centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP033004;Quartier Bourg;CHAR;8
codeGeo;Code du quartier prioritaire;QP033005;Quartier De L'Avenir;CHAR;8
codeGeo;Code du quartier prioritaire;QP033006;Carle Vernet -Terres Neuves;CHAR;8
codeGeo;Code du quartier prioritaire;QP033007;Le Lac;CHAR;8
codeGeo;Code du quartier prioritaire;QP033008;Saint-Michel;CHAR;8
codeGeo;Code du quartier prioritaire;QP033009;Benauge - Henri Sellier - Léo Lagrange;CHAR;8
codeGeo;Code du quartier prioritaire;QP033010;Grand-Parc;CHAR;8
codeGeo;Code du quartier prioritaire;QP033011;Bacalan;CHAR;8
codeGeo;Code du quartier prioritaire;QP033012;Palmer - Saraillère - 8 Mai 45 - Dravemont;CHAR;8
codeGeo;Code du quartier prioritaire;QP033013;Grand Caillou;CHAR;8
codeGeo;Code du quartier prioritaire;QP033014;Jean-Jaurès;CHAR;8
codeGeo;Code du quartier prioritaire;QP033015;Barthez;CHAR;8
codeGeo;Code du quartier prioritaire;QP033016;Carriet;CHAR;8
codeGeo;Code du quartier prioritaire;QP033017;Génicart Est;CHAR;8
codeGeo;Code du quartier prioritaire;QP033018;Alpilles-Vincennes-Bois Fleuri;CHAR;8
codeGeo;Code du quartier prioritaire;QP033019;Beaudésert;CHAR;8
codeGeo;Code du quartier prioritaire;QP033020;Châtaigneraie - Arago;CHAR;8
codeGeo;Code du quartier prioritaire;QP033021;Saige;CHAR;8
codeGeo;Code du quartier prioritaire;QP033022;Thouars;CHAR;8
codeGeo;Code du quartier prioritaire;QP033023;Paty Monmousseau;CHAR;8
codeGeo;Code du quartier prioritaire;QP034001;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP034002;Iranget Grangette;CHAR;8
codeGeo;Code du quartier prioritaire;QP034003;Devèze;CHAR;8
codeGeo;Code du quartier prioritaire;QP034004;Celleneuve;CHAR;8
codeGeo;Code du quartier prioritaire;QP034005;Mosson;CHAR;8
codeGeo;Code du quartier prioritaire;QP034006;Petit Bard Pergola;CHAR;8
codeGeo;Code du quartier prioritaire;QP034007;Pas Du Loup - Val De Croze;CHAR;8
codeGeo;Code du quartier prioritaire;QP034008;Cévennes;CHAR;8
codeGeo;Code du quartier prioritaire;QP034009;Gély;CHAR;8
codeGeo;Code du quartier prioritaire;QP034010;Figuerolles;CHAR;8
codeGeo;Code du quartier prioritaire;QP034011;Lemasson;CHAR;8
codeGeo;Code du quartier prioritaire;QP034012;Près D'Arènes;CHAR;8
codeGeo;Code du quartier prioritaire;QP034013;Pompignane;CHAR;8
codeGeo;Code du quartier prioritaire;QP034014;Aiguelongue;CHAR;8
codeGeo;Code du quartier prioritaire;QP034015;Vert-Bois;CHAR;8
codeGeo;Code du quartier prioritaire;QP034016;Les Deux Pins;CHAR;8
codeGeo;Code du quartier prioritaire;QP034017;Ile De Thau;CHAR;8
codeGeo;Code du quartier prioritaire;QP034018;Centre Ville - Ile Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP034019;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP034020;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP034021;Centre Et Périphérie;CHAR;8
codeGeo;Code du quartier prioritaire;QP034022;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP035001;La Découverte;CHAR;8
codeGeo;Code du quartier prioritaire;QP035002;Villejean;CHAR;8
codeGeo;Code du quartier prioritaire;QP035003;Les Clôteaux - Champs Manceaux;CHAR;8
codeGeo;Code du quartier prioritaire;QP035004;Maurepas;CHAR;8
codeGeo;Code du quartier prioritaire;QP035005;Le Blosne;CHAR;8
codeGeo;Code du quartier prioritaire;QP035006;Cleunay;CHAR;8
codeGeo;Code du quartier prioritaire;QP035007;Bellevue;CHAR;8
codeGeo;Code du quartier prioritaire;QP036001;Beaulieu;CHAR;8
codeGeo;Code du quartier prioritaire;QP036002;Saint Jean - Saint Jacques;CHAR;8
codeGeo;Code du quartier prioritaire;QP036003;Vaugirard - Saint Christophe;CHAR;8
codeGeo;Code du quartier prioritaire;QP036004;Nation Bernardines;CHAR;8
codeGeo;Code du quartier prioritaire;QP037001;La Verrerie;CHAR;8
codeGeo;Code du quartier prioritaire;QP037002;Rabière;CHAR;8
codeGeo;Code du quartier prioritaire;QP037003;Niqueux Bruère - Marcel Pagnol;CHAR;8
codeGeo;Code du quartier prioritaire;QP037004;Rabaterie;CHAR;8
codeGeo;Code du quartier prioritaire;QP037005;Fontaines;CHAR;8
codeGeo;Code du quartier prioritaire;QP037006;Rochepinard;CHAR;8
codeGeo;Code du quartier prioritaire;QP037007;Rives Du Cher;CHAR;8
codeGeo;Code du quartier prioritaire;QP037008;Europe;CHAR;8
codeGeo;Code du quartier prioritaire;QP037009;Sanitas;CHAR;8
codeGeo;Code du quartier prioritaire;QP037010;Maryse Bastié;CHAR;8
codeGeo;Code du quartier prioritaire;QP037011;Bords De Loire;CHAR;8
codeGeo;Code du quartier prioritaire;QP037012;Patte D'Oie - Malétrenne - Plaisance;CHAR;8
codeGeo;Code du quartier prioritaire;QP038001;La Luire - Viscose;CHAR;8
codeGeo;Code du quartier prioritaire;QP038002;Champaret;CHAR;8
codeGeo;Code du quartier prioritaire;QP038003;Essarts - Surieux;CHAR;8
codeGeo;Code du quartier prioritaire;QP038004;Village Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP038005;Alpes Mail Cachin;CHAR;8
codeGeo;Code du quartier prioritaire;QP038006;Mistral Lys Rouge Camine;CHAR;8
codeGeo;Code du quartier prioritaire;QP038007;Villeneuve - Village Olympique;CHAR;8
codeGeo;Code du quartier prioritaire;QP038008;Teisseire Abbaye Jouhaux Châtelet;CHAR;8
codeGeo;Code du quartier prioritaire;QP038009;Alma - Très Cloîtres - Chenoise;CHAR;8
codeGeo;Code du quartier prioritaire;QP038010;Iles De Mars Olympiades;CHAR;8
codeGeo;Code du quartier prioritaire;QP038011;Renaudie - Champberton - La Plaine;CHAR;8
codeGeo;Code du quartier prioritaire;QP038012;Brunetière;CHAR;8
codeGeo;Code du quartier prioritaire;QP038013;Champfleuri;CHAR;8
codeGeo;Code du quartier prioritaire;QP038014;Saint Hubert;CHAR;8
codeGeo;Code du quartier prioritaire;QP038015;Saint Bonnet;CHAR;8
codeGeo;Code du quartier prioritaire;QP038016;Les Roches;CHAR;8
codeGeo;Code du quartier prioritaire;QP038017;La Plaine;CHAR;8
codeGeo;Code du quartier prioritaire;QP038018;Vieux Péages - Les Ayencins;CHAR;8
codeGeo;Code du quartier prioritaire;QP038019;Route De Sablons;CHAR;8
codeGeo;Code du quartier prioritaire;QP038020;Belmont Moulin Villette;CHAR;8
codeGeo;Code du quartier prioritaire;QP038021;Barbières;CHAR;8
codeGeo;Code du quartier prioritaire;QP038022;Plan Des Aures;CHAR;8
codeGeo;Code du quartier prioritaire;QP038023;Estressin;CHAR;8
codeGeo;Code du quartier prioritaire;QP038024;Vallée De Gère;CHAR;8
codeGeo;Code du quartier prioritaire;QP038025;Les Genêts Cancane Charlemagne;CHAR;8
codeGeo;Code du quartier prioritaire;QP038026;Malissol;CHAR;8
codeGeo;Code du quartier prioritaire;QP039001;Mesnils Pasteur;CHAR;8
codeGeo;Code du quartier prioritaire;QP039002;Marjorie - Les Mouillères;CHAR;8
codeGeo;Code du quartier prioritaire;QP039003;Les Avignonnets;CHAR;8
codeGeo;Code du quartier prioritaire;QP039004;Chabot - Le Miroir;CHAR;8
codeGeo;Code du quartier prioritaire;QP040001;Le Sablar;CHAR;8
codeGeo;Code du quartier prioritaire;QP040002;Cuyès;CHAR;8
codeGeo;Code du quartier prioritaire;QP040003;Le Gond;CHAR;8
codeGeo;Code du quartier prioritaire;QP040004;Le Peyrouat;CHAR;8
codeGeo;Code du quartier prioritaire;QP040005;La Moustey;CHAR;8
codeGeo;Code du quartier prioritaire;QP041001;Kennedy - Coty - Croix Chevallier - Sarrazines;CHAR;8
codeGeo;Code du quartier prioritaire;QP041002;Les Rottes;CHAR;8
codeGeo;Code du quartier prioritaire;QP041003;Les Favignolles;CHAR;8
codeGeo;Code du quartier prioritaire;QP042001;Beauregard;CHAR;8
codeGeo;Code du quartier prioritaire;QP042002;La Chapelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP042003;La Romière;CHAR;8
codeGeo;Code du quartier prioritaire;QP042004;Montrambert Méline;CHAR;8
codeGeo;Code du quartier prioritaire;QP042005;Le Dorlay - Les Pins - La Bachasse;CHAR;8
codeGeo;Code du quartier prioritaire;QP042006;Montcel - Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP042007;Grand Pont;CHAR;8
codeGeo;Code du quartier prioritaire;QP042008;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP042009;Centre Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP042010;St Julien - Crêt De L'Oeillet;CHAR;8
codeGeo;Code du quartier prioritaire;QP042011;Cotonne Montferré;CHAR;8
codeGeo;Code du quartier prioritaire;QP042012;Tarentaize Beaubrun;CHAR;8
codeGeo;Code du quartier prioritaire;QP042013;Montreynaud;CHAR;8
codeGeo;Code du quartier prioritaire;QP042014;Crêt De Roc - Soleil;CHAR;8
codeGeo;Code du quartier prioritaire;QP042015;Quartiers Sud-Est;CHAR;8
codeGeo;Code du quartier prioritaire;QP042016;Terrenoire;CHAR;8
codeGeo;Code du quartier prioritaire;QP042017;Bourgogne;CHAR;8
codeGeo;Code du quartier prioritaire;QP042018;Le Parc;CHAR;8
codeGeo;Code du quartier prioritaire;QP042019;Mayollet;CHAR;8
codeGeo;Code du quartier prioritaire;QP043001;Val Vert;CHAR;8
codeGeo;Code du quartier prioritaire;QP043002;Guitard;CHAR;8
codeGeo;Code du quartier prioritaire;QP044001;Ville Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP044002;Petit Caporal;CHAR;8
codeGeo;Code du quartier prioritaire;QP044003;Robespierre - Prézégat;CHAR;8
codeGeo;Code du quartier prioritaire;QP044004;La Ville Aux Roses;CHAR;8
codeGeo;Code du quartier prioritaire;QP044005;Bellevue;CHAR;8
codeGeo;Code du quartier prioritaire;QP044006;Les Dervallières;CHAR;8
codeGeo;Code du quartier prioritaire;QP044007;Le Breil;CHAR;8
codeGeo;Code du quartier prioritaire;QP044008;Bout Des Landes - Bout Des Pavés - Chêne Des anglais;CHAR;8
codeGeo;Code du quartier prioritaire;QP044009;La Boissière;CHAR;8
codeGeo;Code du quartier prioritaire;QP044010;Port Boyer;CHAR;8
codeGeo;Code du quartier prioritaire;QP044011;Le Clos Toreau;CHAR;8
codeGeo;Code du quartier prioritaire;QP044012;Le Ranzay;CHAR;8
codeGeo;Code du quartier prioritaire;QP044013;Malakoff;CHAR;8
codeGeo;Code du quartier prioritaire;QP044014;Bottière Pin Sec;CHAR;8
codeGeo;Code du quartier prioritaire;QP044015;La Halvêque;CHAR;8
codeGeo;Code du quartier prioritaire;QP044016;La Petite Sensive;CHAR;8
codeGeo;Code du quartier prioritaire;QP044017;Plaisance;CHAR;8
codeGeo;Code du quartier prioritaire;QP044018;Château;CHAR;8
codeGeo;Code du quartier prioritaire;QP044019;Le Sillon De Bretagne;CHAR;8
codeGeo;Code du quartier prioritaire;QP045001;Les Chaises;CHAR;8
codeGeo;Code du quartier prioritaire;QP045002;Vésine;CHAR;8
codeGeo;Code du quartier prioritaire;QP045003;Le Plateau;CHAR;8
codeGeo;Code du quartier prioritaire;QP045004;La Chaussée;CHAR;8
codeGeo;Code du quartier prioritaire;QP045005;Le Bourg - Chautemps;CHAR;8
codeGeo;Code du quartier prioritaire;QP045006;Le Clos De La Grande Salle;CHAR;8
codeGeo;Code du quartier prioritaire;QP045007;Andrillons Ormes Du mail;CHAR;8
codeGeo;Code du quartier prioritaire;QP045008;Lignerolles;CHAR;8
codeGeo;Code du quartier prioritaire;QP045009;Dauphine;CHAR;8
codeGeo;Code du quartier prioritaire;QP045010;La Source;CHAR;8
codeGeo;Code du quartier prioritaire;QP045011;Argonne;CHAR;8
codeGeo;Code du quartier prioritaire;QP045012;Blossières;CHAR;8
codeGeo;Code du quartier prioritaire;QP045013;Pont Bordeaux;CHAR;8
codeGeo;Code du quartier prioritaire;QP045014;Les 3 Fontaines;CHAR;8
codeGeo;Code du quartier prioritaire;QP045015;Le Hameau;CHAR;8
codeGeo;Code du quartier prioritaire;QP045016;Champ De La Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP045017;Montoire;CHAR;8
codeGeo;Code du quartier prioritaire;QP045018;Quartiers Nord;CHAR;8
codeGeo;Code du quartier prioritaire;QP045019;Saint Aignan;CHAR;8
codeGeo;Code du quartier prioritaire;QP046001;Terre Rouge;CHAR;8
codeGeo;Code du quartier prioritaire;QP047001;Rodrigues - Barleté;CHAR;8
codeGeo;Code du quartier prioritaire;QP047002;Montanou;CHAR;8
codeGeo;Code du quartier prioritaire;QP047003;Pin;CHAR;8
codeGeo;Code du quartier prioritaire;QP047004;Bastide Au Bord Du Lot;CHAR;8
codeGeo;Code du quartier prioritaire;QP047005;Bastide;CHAR;8
codeGeo;Code du quartier prioritaire;QP047006;Baylac Gravette;CHAR;8
codeGeo;Code du quartier prioritaire;QP047007;Coeur De ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP049001;Belle Beille;CHAR;8
codeGeo;Code du quartier prioritaire;QP049002;Roseraie;CHAR;8
codeGeo;Code du quartier prioritaire;QP049003;Savary;CHAR;8
codeGeo;Code du quartier prioritaire;QP049004;Grand Pigeon;CHAR;8
codeGeo;Code du quartier prioritaire;QP049005;Monplaisir;CHAR;8
codeGeo;Code du quartier prioritaire;QP049006;Hauts De Saint Aubin;CHAR;8
codeGeo;Code du quartier prioritaire;QP049007;Beauval Bedier Morellerie;CHAR;8
codeGeo;Code du quartier prioritaire;QP049008;Le Grand Bellevue;CHAR;8
codeGeo;Code du quartier prioritaire;QP049009;Bretagne Bostangis;CHAR;8
codeGeo;Code du quartier prioritaire;QP049010;Jean Monnet;CHAR;8
codeGeo;Code du quartier prioritaire;QP049011;Favreau Les Mauges;CHAR;8
codeGeo;Code du quartier prioritaire;QP049012;Colline Villeneuve;CHAR;8
codeGeo;Code du quartier prioritaire;QP049013;Chemin Vert - Hauts Quartiers;CHAR;8
codeGeo;Code du quartier prioritaire;QP050001;La Turfaudière;CHAR;8
codeGeo;Code du quartier prioritaire;QP050002;Val Saint Jean;CHAR;8
codeGeo;Code du quartier prioritaire;QP050003;La Dollée;CHAR;8
codeGeo;Code du quartier prioritaire;QP050004;Claires Fontaines;CHAR;8
codeGeo;Code du quartier prioritaire;QP050005;Les Provinces;CHAR;8
codeGeo;Code du quartier prioritaire;QP050006;Maupas - Hautmarais - Brêche Du Bois;CHAR;8
codeGeo;Code du quartier prioritaire;QP050007;Fourches - Charcot;CHAR;8
codeGeo;Code du quartier prioritaire;QP051001;Quartier Prioritaire Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP051002;Quartier Prioritaire Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP051003;Croix Rouge;CHAR;8
codeGeo;Code du quartier prioritaire;QP051004;Wilson - Maison Blanche - Chatillons;CHAR;8
codeGeo;Code du quartier prioritaire;QP051005;Orgeval;CHAR;8
codeGeo;Code du quartier prioritaire;QP051006;Europe;CHAR;8
codeGeo;Code du quartier prioritaire;QP051007;Chalet - Solférino - Paul Petit;CHAR;8
codeGeo;Code du quartier prioritaire;QP051008;Walbaum;CHAR;8
codeGeo;Code du quartier prioritaire;QP051009;Epinettes - Maladrerie - Chemin Des Bouchers;CHAR;8
codeGeo;Code du quartier prioritaire;QP051010;Le Hamois;CHAR;8
codeGeo;Code du quartier prioritaire;QP051011;Rome Saint Charles;CHAR;8
codeGeo;Code du quartier prioritaire;QP051012;Bernon;CHAR;8
codeGeo;Code du quartier prioritaire;QP052001;Rochotte;CHAR;8
codeGeo;Code du quartier prioritaire;QP052002;Cavalier;CHAR;8
codeGeo;Code du quartier prioritaire;QP052003;Quartier Neuf;CHAR;8
codeGeo;Code du quartier prioritaire;QP052004;Vert-Bois;CHAR;8
codeGeo;Code du quartier prioritaire;QP053001;Les Fourches;CHAR;8
codeGeo;Code du quartier prioritaire;QP053002;Kellermann;CHAR;8
codeGeo;Code du quartier prioritaire;QP053003;Pavement - Charité - Mortier - Murat;CHAR;8
codeGeo;Code du quartier prioritaire;QP054001;Mouzimpré;CHAR;8
codeGeo;Code du quartier prioritaire;QP054002;Gouraincourt - Remparts;CHAR;8
codeGeo;Code du quartier prioritaire;QP054003;Concorde;CHAR;8
codeGeo;Code du quartier prioritaire;QP054004;Quartier Voltaire;CHAR;8
codeGeo;Code du quartier prioritaire;QP054005;Val Saint Martin;CHAR;8
codeGeo;Code du quartier prioritaire;QP054006;Quartier Les Mouettes;CHAR;8
codeGeo;Code du quartier prioritaire;QP054007;Quartier La Penotte;CHAR;8
codeGeo;Code du quartier prioritaire;QP054008;Bois Le Prêtre - Procheville;CHAR;8
codeGeo;Code du quartier prioritaire;QP054009;Centre Ancien;CHAR;8
codeGeo;Code du quartier prioritaire;QP054010;Niederbronn - Zola;CHAR;8
codeGeo;Code du quartier prioritaire;QP054011;Quartier La Croix De Metz;CHAR;8
codeGeo;Code du quartier prioritaire;QP054012;La Californie;CHAR;8
codeGeo;Code du quartier prioritaire;QP054013;Les Provinces;CHAR;8
codeGeo;Code du quartier prioritaire;QP054014;Plateau De Haye - Champ Le Boeuf;CHAR;8
codeGeo;Code du quartier prioritaire;QP054015;Plateau De Haye Nancy - Maxéville;CHAR;8
codeGeo;Code du quartier prioritaire;QP054016;Haussonville - Les Nations;CHAR;8
codeGeo;Code du quartier prioritaire;QP054017;Saint Michel Jéricho - Grands moulins;CHAR;8
codeGeo;Code du quartier prioritaire;QP054018;Coeur De Ville;CHAR;8
codeGeo;Code du quartier prioritaire;QP055001;Côte Sainte-Catherine;CHAR;8
codeGeo;Code du quartier prioritaire;QP055002;Planchettes;CHAR;8
codeGeo;Code du quartier prioritaire;QP055003;Centre Verdun - Cité verte;CHAR;8
codeGeo;Code du quartier prioritaire;QP056001;Gumenen Goaner - Parco Pointer;CHAR;8
codeGeo;Code du quartier prioritaire;QP056002;Les 3 K : Kennedy - Kergohic - Kerihouais;CHAR;8
codeGeo;Code du quartier prioritaire;QP056003;Centre Ville Kerfrehour;CHAR;8
codeGeo;Code du quartier prioritaire;QP056004;Kervenanec Nord;CHAR;8
codeGeo;Code du quartier prioritaire;QP056005;Polygone Frebault;CHAR;8
codeGeo;Code du quartier prioritaire;QP056006;Bois Du Château;CHAR;8
codeGeo;Code du quartier prioritaire;QP056007;Kerguillette Petit Paradis;CHAR;8
codeGeo;Code du quartier prioritaire;QP056008;Kercado;CHAR;8
codeGeo;Code du quartier prioritaire;QP056009;Ménimur;CHAR;8
codeGeo;Code du quartier prioritaire;QP057001;Quartier Saravis;CHAR;8
codeGeo;Code du quartier prioritaire;QP057002;La Cité;CHAR;8
codeGeo;Code du quartier prioritaire;QP057003;Wiesberg Hommel;CHAR;8
codeGeo;Code du quartier prioritaire;QP057004;Bellevue;CHAR;8
codeGeo;Code du quartier prioritaire;QP057005;Quartier Rémelange;CHAR;8
codeGeo;Code du quartier prioritaire;QP057006;Quartier Ouest;CHAR;8
codeGeo;Code du quartier prioritaire;QP057007;Côte Des Roses;CHAR;8
codeGeo;Code du quartier prioritaire;QP057008;Quartier Saint Pierre - La Millaire;CHAR;8
codeGeo;Code du quartier prioritaire;QP057009;Quartier Terrasses Des Provinces;CHAR;8
codeGeo;Code du quartier prioritaire;QP057010;Beausoleil;CHAR;8
codeGeo;Code du quartier prioritaire;QP057011;Vieille Ville Et Ville Haute;CHAR;8
codeGeo;Code du quartier prioritaire;QP057012;La Chapelle;CHAR;8
codeGeo;Code du quartier prioritaire;QP057013;Quartier République;CHAR;8
codeGeo;Code du quartier prioritaire;QP057014;Cité Du Furst;CHAR;8
codeGeo;Code du quartier prioritaire;QP057015;Carrière Wehneck;CHAR;8
codeGeo;Code du quartier prioritaire;QP057016;Quartier Maroc;CHAR;8
codeGeo;Code du quartier prioritaire;QP057017;Quartier Breckelberg Fatima;CHAR;8
codeGeo;Code du quartier prioritaire;QP057018;Bellecroix;CHAR;8
codeGeo;Code du quartier prioritaire;QP057019;Hauts De Vallières;CHAR;8
codeGeo;Code du quartier prioritaire;QP057020;Borny;CHAR;8
codeGeo;Code du quartier prioritaire;QP057021;Sablon Sud;CHAR;8
codeGeo;Code du quartier prioritaire;QP057022;La Patrotte - Metz-Nord;CHAR;8
codeGeo;Code du quartier prioritaire;QP057023;Quartier Saint-Eloy - Boileau-Pré Génie;CHAR;8
codeGeo;Code du quartier prioritaire;QP057024;Les Chênes;CHAR;8
codeGeo;Code du quartier prioritaire;QP058001;Grande Pâture - Les Montôts;CHAR;8
codeGeo;Code du quartier prioritaire;QP058002;Le Banlay;CHAR;8
codeGeo;Code du quartier prioritaire;QP058003;Les Bords De Loire;CHAR;8
codeGeo;Code du quartier prioritaire;QP058004;La Baratte - Les Courlis;CHAR;8
codeGeo;Code du quartier prioritaire;QP058005;Saint Laurent;CHAR;8
codeGeo;Code du quartier prioritaire;QP059001;Quartier Prioritaire De Hornaing;CHAR;8
codeGeo;Code du quartier prioritaire;QP059002;Auby Centre;CHAR;8
codeGeo;Code du quartier prioritaire;QP059003;Asturies - Belleforières;CHAR;8
codeGeo;Code du quartier prioritaire;QP059004;Résidence Gayant;CHAR;8
codeGeo;Code du quartier prioritaire;QP059005;Flers En Escrebieux Pont De La Deûle - Dorignies;CHAR;8
codeGeo;Code du quartier prioritaire;QP059006;Frais Marais;CHAR;8
codeGeo;Code du quartier prioritaire;QP059007;Notre Dame - La Clochette - Le Bivouac;CHAR;8
codeGeo;Code du quartier prioritaire;QP059008;Faubourg De Béthune;CHAR;8
codeGeo;Code du quartier prioritaire;QP059009;Les Epis;CHAR;8
codeGeo;Code du quartier prioritaire;QP059010;Haut Terroir - Le Vivier;CHAR;8
codeGeo;Code du quartier prioritaire;QP059011;Les Explorateurs -  Place Du 8 Mai 1945 - Jean Jaurés - La Flamenne;CHAR;8
codeGeo;Code du quartier prioritaire;QP059012;Quartier Du Village;CHAR;8
codeGeo;Code du quartier prioritaire;QP059013;Bois Du Quesnoy;CHAR;8
codeGeo;Code du quartier prioritaire;QP059014;Centre Lambreçon;CHAR;8
codeGeo;Code du quartier prioritaire;QP059015;Long Prés - Prés Du Paradis;CHAR;8
codeGeo;Code du quartier prioritaire;QP059016;Pont De Pierre;CHAR;8
